Field name	Type	Mode
v_coordinateUncertaintyInMeters	STRING	NULLABLE
v_country	STRING	NULLABLE
v_countryCode	STRING	NULLABLE
v_county	STRING	NULLABLE
v_coverage	STRING	NULLABLE
v_created	STRING	NULLABLE
v_creator	STRING	NULLABLE
v_cultivarEpithet	STRING	NULLABLE
v_dataGeneralizations	STRING	NULLABLE
v_datasetID	STRING	NULLABLE
v_datasetName	STRING	NULLABLE
v_date	STRING	NULLABLE
v_dateAccepted	STRING	NULLABLE
v_dateCopyrighted	STRING	NULLABLE
v_dateIdentified	STRING	NULLABLE
v_dateSubmitted	STRING	NULLABLE
v_day	STRING	NULLABLE
v_decimalLatitude	STRING	NULLABLE
v_decimalLongitude	STRING	NULLABLE
v_degreeOfEstablishment	STRING	NULLABLE
v_description	STRING	NULLABLE
v_disposition	STRING	NULLABLE
v_dynamicProperties	STRING	NULLABLE
v_earliestAgeOrLowestStage	STRING	NULLABLE
v_earliestEonOrLowestEonothem	STRING	NULLABLE
v_earliestEpochOrLowestSeries	STRING	NULLABLE
v_earliestEraOrLowestErathem	STRING	NULLABLE
v_earliestPeriodOrLowestSystem	STRING	NULLABLE
v_educationLevel	STRING	NULLABLE
v_endDayOfYear	STRING	NULLABLE
v_establishmentMeans	STRING	NULLABLE
v_eventDate	STRING	NULLABLE
v_eventID	STRING	NULLABLE
v_eventRemarks	STRING	NULLABLE
v_eventTime	STRING	NULLABLE
v_extent	STRING	NULLABLE
v_family	STRING	NULLABLE
v_fieldNotes	STRING	NULLABLE
v_fieldNumber	STRING	NULLABLE
v_footprintSRS	STRING	NULLABLE
v_footprintSpatialFit	STRING	NULLABLE
v_footprintWKT	STRING	NULLABLE
v_format	STRING	NULLABLE
v_formation	STRING	NULLABLE
v_genericName	STRING	NULLABLE
v_genus	STRING	NULLABLE
v_geodeticDatum	STRING	NULLABLE
v_geologicalContextID	STRING	NULLABLE
v_georeferenceProtocol	STRING	NULLABLE
v_georeferenceRemarks	STRING	NULLABLE
v_georeferenceSources	STRING	NULLABLE
v_georeferenceVerificationStatus	STRING	NULLABLE
v_georeferencedBy	STRING	NULLABLE
v_georeferencedDate	STRING	NULLABLE
v_group	STRING	NULLABLE
v_habitat	STRING	NULLABLE
v_hasFormat	STRING	NULLABLE
v_hasPart	STRING	NULLABLE
v_hasVersion	STRING	NULLABLE
v_higherClassification	STRING	NULLABLE
v_higherGeography	STRING	NULLABLE
v_higherGeographyID	STRING	NULLABLE
v_highestBiostratigraphicZone	STRING	NULLABLE
v_identificationID	STRING	NULLABLE
v_identificationQualifier	STRING	NULLABLE
v_identificationReferences	STRING	NULLABLE
v_identificationRemarks	STRING	NULLABLE
v_identificationVerificationStatus	STRING	NULLABLE
v_identifiedBy	STRING	NULLABLE
v_identifiedByID	STRING	NULLABLE
v_identifier	STRING	NULLABLE
v_individualCount	STRING	NULLABLE
v_informationWithheld	STRING	NULLABLE
v_infragenericEpithet	STRING	NULLABLE
v_infraspecificEpithet	STRING	NULLABLE
v_institutionCode	STRING	NULLABLE
v_institutionID	STRING	NULLABLE
v_instructionalMethod	STRING	NULLABLE
v_isFormatOf	STRING	NULLABLE
v_isPartOf	STRING	NULLABLE
v_isReferencedBy	STRING	NULLABLE
v_isReplacedBy	STRING	NULLABLE
v_isRequiredBy	STRING	NULLABLE
v_isVersionOf	STRING	NULLABLE
v_island	STRING	NULLABLE
v_islandGroup	STRING	NULLABLE
v_issued	STRING	NULLABLE
v_kingdom	STRING	NULLABLE
v_language	STRING	NULLABLE
v_latestAgeOrHighestStage	STRING	NULLABLE
v_latestEonOrHighestEonothem	STRING	NULLABLE
v_latestEpochOrHighestSeries	STRING	NULLABLE
v_latestEraOrHighestErathem	STRING	NULLABLE
v_latestPeriodOrHighestSystem	STRING	NULLABLE
v_license	STRING	NULLABLE
v_lifeStage	STRING	NULLABLE
v_lithostratigraphicTerms	STRING	NULLABLE
v_locality	STRING	NULLABLE
v_locationAccordingTo	STRING	NULLABLE
v_locationID	STRING	NULLABLE
v_locationRemarks	STRING	NULLABLE
v_lowestBiostratigraphicZone	STRING	NULLABLE
v_materialSampleID	STRING	NULLABLE
v_maximumDepthInMeters	STRING	NULLABLE
v_maximumDistanceAboveSurfaceInMeters	STRING	NULLABLE
v_maximumElevationInMeters	STRING	NULLABLE
v_mediator	STRING	NULLABLE
v_medium	STRING	NULLABLE
v_member	STRING	NULLABLE
v_minimumDepthInMeters	STRING	NULLABLE
v_minimumDistanceAboveSurfaceInMeters	STRING	NULLABLE
v_minimumElevationInMeters	STRING	NULLABLE
v_modified	STRING	NULLABLE
v_month	STRING	NULLABLE
v_municipality	STRING	NULLABLE
v_nameAccordingTo	STRING	NULLABLE
v_nameAccordingToID	STRING	NULLABLE
v_namePublishedIn	STRING	NULLABLE
v_namePublishedInID	STRING	NULLABLE
v_namePublishedInYear	STRING	NULLABLE
v_nomenclaturalCode	STRING	NULLABLE
v_nomenclaturalStatus	STRING	NULLABLE
v_occurrenceID	STRING	NULLABLE
v_occurrenceRemarks	STRING	NULLABLE
v_occurrenceStatus	STRING	NULLABLE
v_order	STRING	NULLABLE
v_organismID	STRING	NULLABLE
v_organismName	STRING	NULLABLE
v_organismQuantity	STRING	NULLABLE
v_organismQuantityType	STRING	NULLABLE
v_organismRemarks	STRING	NULLABLE
v_organismScope	STRING	NULLABLE
v_originalNameUsage	STRING	NULLABLE
v_originalNameUsageID	STRING	NULLABLE
v_otherCatalogNumbers	STRING	NULLABLE
v_ownerInstitutionCode	STRING	NULLABLE
v_parentEventID	STRING	NULLABLE
v_parentNameUsage	STRING	NULLABLE
v_parentNameUsageID	STRING	NULLABLE
v_pathway	STRING	NULLABLE
v_phylum	STRING	NULLABLE
v_pointRadiusSpatialFit	STRING	NULLABLE
v_preparations	STRING	NULLABLE
v_previousIdentifications	STRING	NULLABLE
v_provenance	STRING	NULLABLE
v_publisher	STRING	NULLABLE
v_recordNumber	STRING	NULLABLE
v_recordedBy	STRING	NULLABLE
v_recordedByID	STRING	NULLABLE
v_references	STRING	NULLABLE
v_relation	STRING	NULLABLE
v_replaces	STRING	NULLABLE
v_reproductiveCondition	STRING	NULLABLE
v_requires	STRING	NULLABLE
v_rights	STRING	NULLABLE
v_rightsHolder	STRING	NULLABLE
v_sampleSizeUnit	STRING	NULLABLE
v_sampleSizeValue	STRING	NULLABLE
v_samplingEffort	STRING	NULLABLE
v_samplingProtocol	STRING	NULLABLE
v_scientificNameID	STRING	NULLABLE
v_sex	STRING	NULLABLE
v_source	STRING	NULLABLE
v_spatial	STRING	NULLABLE
v_specificEpithet	STRING	NULLABLE
v_startDayOfYear	STRING	NULLABLE
v_stateProvince	STRING	NULLABLE
v_subfamily	STRING	NULLABLE
v_subgenus	STRING	NULLABLE
v_subject	STRING	NULLABLE
v_tableOfContents	STRING	NULLABLE
v_taxonConceptID	STRING	NULLABLE
v_taxonID	STRING	NULLABLE
v_taxonRank	STRING	NULLABLE
v_taxonRemarks	STRING	NULLABLE
v_taxonomicStatus	STRING	NULLABLE
v_temporal	STRING	NULLABLE
v_title	STRING	NULLABLE
v_type	STRING	NULLABLE
v_typeStatus	STRING	NULLABLE
v_valid	STRING	NULLABLE
v_verbatimCoordinateSystem	STRING	NULLABLE
v_verbatimCoordinates	STRING	NULLABLE
v_verbatimDepth	STRING	NULLABLE
v_verbatimElevation	STRING	NULLABLE
v_verbatimEventDate	STRING	NULLABLE
v_verbatimIdentification	STRING	NULLABLE
v_verbatimLatitude	STRING	NULLABLE
v_verbatimLocality	STRING	NULLABLE
v_verbatimLongitude	STRING	NULLABLE
v_verbatimSRS	STRING	NULLABLE
v_verbatimTaxonRank	STRING	NULLABLE
v_vernacularName	STRING	NULLABLE
v_verticalDatum	STRING	NULLABLE
v_waterBody	STRING	NULLABLE
v_year	STRING	NULLABLE
