Field name	Type	Mode
gbifid	INTEGER	REQUIRED
datasetKey	STRING	NULLABLE
occurrenceID	STRING	NULLABLE
kingdom	STRING	NULLABLE
phylum	STRING	NULLABLE
class	STRING	NULLABLE
order	STRING	NULLABLE
family	STRING	NULLABLE
genus	STRING	NULLABLE
species	STRING	NULLABLE
infraspecificEpithet	STRING	NULLABLE
taxonRank	STRING	NULLABLE
scientificName	STRING	NULLABLE
v_scientificName	STRING	NULLABLE
v_scientificNameAuthorship	STRING	NULLABLE
countryCode	STRING	NULLABLE
locality	STRING	NULLABLE
stateProvince	STRING	NULLABLE
occurrenceStatus	STRING	NULLABLE
individualCount	INTEGER	NULLABLE
publishingOrgKey	STRING	NULLABLE
decimalLatitude	FLOAT	NULLABLE
decimalLongitude	FLOAT	NULLABLE
coordinateUncertaintyInMeters	FLOAT	NULLABLE
coordinatePrecision	FLOAT	NULLABLE
elevation	FLOAT	NULLABLE
elevationAccuracy	FLOAT	NULLABLE
depth	FLOAT	NULLABLE
depthAccuracy	FLOAT	NULLABLE
eventDate	STRING	NULLABLE
day	INTEGER	NULLABLE
month	INTEGER	NULLABLE
year	INTEGER	NULLABLE
taxonKey	INTEGER	NULLABLE
speciesKey	INTEGER	NULLABLE
basisOfRecord	STRING	NULLABLE
institutionCode	STRING	NULLABLE
collectionCode	STRING	NULLABLE
catalogNumber	STRING	NULLABLE
recordNumber	STRING	NULLABLE
identifiedBy	STRING	REPEATED
dateIdentified	STRING	NULLABLE
license	STRING	NULLABLE
rightsHolder	STRING	NULLABLE
recordedBy	STRING	REPEATED
typeStatus	STRING	REPEATED
establishmentMeans	STRING	NULLABLE
lastInterpreted	STRING	NULLABLE
mediaType	STRING	REPEATED
issue	STRING	REPEATED
kingdomKey	INTEGER	NULLABLE
phylumKey	INTEGER	NULLABLE
classKey	INTEGER	NULLABLE
orderKey	INTEGER	NULLABLE
familyKey	INTEGER	NULLABLE
genusKey	INTEGER	NULLABLE
publishingCountry	STRING	NULLABLE
v_abstract	STRING	NULLABLE
v_acceptedNameUsage	STRING	NULLABLE
v_acceptedNameUsageID	STRING	NULLABLE
v_accessRights	STRING	NULLABLE
v_accrualMethod	STRING	NULLABLE
v_accrualPeriodicity	STRING	NULLABLE
v_accrualPolicy	STRING	NULLABLE
v_alternative	STRING	NULLABLE
v_associatedMedia	STRING	NULLABLE
v_associatedOccurrences	STRING	NULLABLE
v_associatedOrganisms	STRING	NULLABLE
v_associatedReferences	STRING	NULLABLE
v_associatedSequences	STRING	NULLABLE
v_associatedTaxa	STRING	NULLABLE
v_audience	STRING	NULLABLE
v_available	STRING	NULLABLE	
v_basisOfRecord	STRING	NULLABLE
v_bed	STRING	NULLABLE
v_behavior	STRING	NULLABLE
v_bibliographicCitation	STRING	NULLABLE
v_catalogNumber	STRING	NULLABLE
v_class	STRING	NULLABLE
v_collectionCode	STRING	NULLABLE
v_collectionID	STRING	NULLABLE
v_conformsTo	STRING	NULLABLE
v_continent	STRING	NULLABLE
v_contributor	STRING	NULLABLE
v_coordinatePrecision	STRING	NULLABLE
