typestatus	standard	vetted
HOLOTYPE OF DENDROCINCLA MERULA OBIDENSIS, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE WOOD-HEWERS **INCORRECTLY LISTED AS 31 DEC 1930**. ANNALS CARNEGIE MUSEUM, 5-18. PAGE 16, PUBLISHED 2 JULY 1948.	holotype	1
HOLOTYPE OF DENDROCINCLA MERULA REMOTA, TODD, W. E. C. 1925. DESCRIPTIONS OF NEW FURNARIIDAE AND DENDROCOLAPTIDAE. PROC. BIOL. SOC. WASH., 79-82. PAGE 82, PUBLISHED 26 MAY 1925.	holotype	1
HOLOTYPE OF DENDROCINCLA MERULOIDES NEGLECTA, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE WOOD-HEWERS. ANNALS CARNEGIE MUSEUM, 5-18. PAGE 16, PUBLISHED 2 JULY 1948.	holotype	1
HOLOTYPE OF DENDROCOLAPTES CERTHIA COLOMBIANUS, TODD, W. E. C. 1950. THE NORTHERN RACES OF DENDROCOLAPTES CERTHIA ***INCORRECTLY REPORTED AS CM 624293, 16 FEB***. J. WASH. ACAD. SCI., 237-238. PAGE 238, PUBLISHED 15 JULY 1950.	holotype	1
HOLOTYPE OF DENDROCOLAPTES CERTHIA MEDIUS, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 74, PUBLISHED 30 DECEMBER 1920.	holotype	1
HOLOTYPE OF DENDROCOLAPTES CERTHIA NIGRIROSTRIS, TODD, W. E. C. 1950. THE NORTHERN RACES OF DENDROCOLAPTES CERTHIA (COMMUNICATED BY H. G. DEIGNAN). J. WASH. ACAD. SCI., 237-238. PAGE 237, PUBLISHED 15 JULY 1950.	holotype	1
HOLOTYPE OF DENDROCOLAPTES POLYZONUS, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 173, PUBLISHED 8 AUGUST 1913.	holotype	1
HOLOTYPE OF DENDROCOLAPTES TRANSFASCIATUS, TODD, W. E. C. 1925. DESCRIPTIONS OF NEW FURNARIIDAE AND DENDROCOLAPTIDAE. PROC. BIOL. SOC. WASH., 79-82. PAGE 81, PUBLISHED 26 MAY 1925.	holotype	1
HOLOTYPE OF DENDROICA BRYANTI XANTHOTERA, TODD, W. E. C. 1924. DESCRIPTIONS OF EIGHT NEW NEOTROPICAL BIRDS ***INCORRECTLY LISTED AS 01 JUNE***. PROC. BIOL. SOC. WASH., 121-124. PAGE 123, PUBLISHED 8 JULY 1924.	holotype	1
HOLOTYPE OF DENDROICA ERITHACHORIDES HUEYI	holotype	1
HOLOTYPE OF DENDROICA ERITHACHORIDES RHIZOPHORAE	holotype	1
HOLOTYPE OF DENDROICA FLAVESCENS, TODD, W. E. C. 1909. A NEW WARBLER FROM THE BAHAMA ISLANDS. PROC. BIOL. SOC. WASH., 171-172. PAGE 171, PUBLISHED 28 JULY 1909.	holotype	1
HOLOTYPE OF DENDROICA PETECHIA PARKESI, BROWNING, M. R. 1994. A TAXONOMIC REVIEW OF DENDROICA PETECHIA (YELLOW WARBLER) (AVES: PARULINAE). PROC. BIOL. SOC. WASH., 27-51. PAGE 31, PUBLISHED 1994.	holotype	1
HOLOTYPE OF DENDROMUS VERNAYI (HILL & CARTER)	holotype	1
HOLOTYPE OF DENDROPLEX PICUS RUFESCENS, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE WOOD-HEWERS. ANNALS CARNEGIE MUSEUM, 5-18. PAGE 11, PUBLISHED 2 JULY 1948.	holotype	1
HOLOTYPE OF DERMOPHIS EBURATUS	holotype	1
HOLOTYPE OF DESMOGNATHUS QUADRAMACULATUS AMPHILEUCUS	holotype	1
HOLOTYPE OF DIADOPHIS AMABILIS SIMILIS	holotype	1
HOLOTYPE OF DICAEUM AENEUM BECKI (HARTERT, 1929)	holotype	1
HOLOTYPE OF DICAEUM AERUGINOSUM STRIATISSIMUM, PARKES, K. C. 1962. NEW SUBSPECIES OF BIRDS FROM LUZON, PHILIPPINES. POSTILLA, 1-8. PAGE 4, PUBLISHED 17 SEPTEMBER 1962.	holotype	1
HOLOTYPE OF DICAEUM HYPOLEUCUM LAGUNAE, PARKES, K. C. 1962. NEW SUBSPECIES OF BIRDS FROM LUZON, PHILIPPINES. POSTILLA, 1-8. PAGE 5, PUBLISHED 17 SEPTEMBER 1962.	holotype	1
HOLOTYPE OF DICROSTONYX RICHARDSONI	holotype	1
HOLOTYPE OF DIDELPHIS ALBIVENTRIS PERNIGRA (ALLEN)	holotype	1
HOLOTYPE OF DIDELPHIS MARSUPIALIS CAUCAE	holotype	1
HOLOTYPE OF DIDELPHIS MARSUPIALIS CAUCAE (ALLEN)	holotype	1
HOLOTYPE OF DIDELPHIS MARSUPIALIS MARSUPIALIS	holotype	1
HOLOTYPE OF DIEMICTYLUS VIRIDESCENS PIAROPICOLA	holotype	1
HOLOTYPE OF DIGLOSSA VENEZUELENSIS	holotype	1
HOLOTYPE OF DIGLOSSOPIS CAERUELSCENS SATURATA, TODD, W. E. C. 1917. NEW GENERA, SPECIES, AND SUBSPECIES OF SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 127-130. PAGE 128, PUBLISHED 27 JULY 1917.	holotype	1
HOLOTYPE OF DINOMYS BRANICKII (PALLAS)	holotype	1
HOLOTYPE OF DIPLOGLOSSUS COSTATUS SAONAE, SCHWARTZ, 1971, J. HERPETOL., 5:161	holotype	1
HOLOTYPE OF DIPLOMYS RUFODORSALIS ((ALLEN))	holotype	1
HOLOTYPE OF DIPODOMYS MERRIAMI MERRIAMI (MEARNS)	holotype	1
HOLOTYPE OF DIPODOMYS ORDII OBSCURUS ((ALLEN))	holotype	1
HOLOTYPE OF DIPODOMYS ORDII RICHARDSONI ((ALLEN))	holotype	1
HOLOTYPE OF DIPODOMYS ORDII SENNETTI	holotype	1
HOLOTYPE OF DIPODOMYS ORDII SENNETTI ((ALLEN))	holotype	1
HOLOTYPE OF DIPSAS INDICA ECUADORENSIS	holotype	1
HOLOTYPE OF DIPSAS VERMICULATA	holotype	1
HOLOTYPE OF DIPSO-SAURUS DORSALIS SONORIENSIS	holotype	1
HOLOTYPE OF DISCOGLOSSUS JEANNEAE, BUSACK, 1986, ANN. CARN. MUS. 55(3):54	holotype	1
HOLOTYPE OF DOLOGALE DYBOWSKII ((POUSARGUES))	holotype	1
HOLOTYPE OF DORCOPSIS VETERUM	holotype	1
HOLOTYPE OF DREMOMYS LOKRIAH PAGUS	holotype	1
HOLOTYPE OF DREMOMYS PYRRHOMERUS PYRRHOMERUS ((THE CORYNDON MUSEUM))	holotype	1
HOLOTYPE OF DRYMOPHILA CAUDATA HELLMAYRI, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 79-82. PAGE 80, PUBLISHED 13 APRIL 1915.	holotype	1
HOLOTYPE OF DRYOBATES NUTTALLII LONGIROSTRATA	holotype	1
HOLOTYPE OF DRYOBATES SCALARIS LEUCOPTILURUS, OBERHOLSER, H. C. 1912. A REVISION OF THE FORMS OF THE LADDER-BACKED WOODPECKER (DRYOBATES SCALARIS [WAGLER]). PROC. U.S. NATIONAL MUSEUM, 139-159. PAGE 146, PUBLISHED 30 JUNE 1912.	holotype	1
HOLOTYPE OF DRYOBATES VILLOSUS MONTANUS, ANTHONY, A. W. 1896. A NEW SUBSPECIES OF THE GNEUS DRYOBATES. AUK, 31-34. PAGE 32, PUBLISHED JANUARY 1896.	holotype	1
HOLOTYPE OF DRYOPHIS PRAEOCULARIS, TAYLOR, 1922, PHILIPPINE BUR. SCI., PUBL. 16:222	holotype	1
HOLOTYPE OF DYSITHAMNUS MENTALIS LATERALIS, TODD, W. E. C. 1916. ON DYSITHMANUS MENTALIS AND ITS ALLIES. BULL. AMER. MUS. NAT. HIST., 533-558. PAGE 540, PUBLISHED 10 AUGUST 1916.	holotype	1
HOLOTYPE OF EBENAVIA MAINTIMAINTY	holotype	1
HOLOTYPE OF ECHIMYS ARMATUS	holotype	1
HOLOTYPE OF ECHIMYS DIDELPHOIDES DIDELPHOIDES (DESMAREST)	holotype	1
HOLOTYPE OF ECHIMYS DIDELPHOIDES HANDLEYI ((GOODWIN))	holotype	1
HOLOTYPE OF ECHIMYS SEMIVILLOSUS CARRIKERI ((ALLEN))	holotype	1
HOLOTYPE OF ECHYMIPERA KALUBU ORIOMO (TATE & ARCHBOLD)	holotype	1
HOLOTYPE OF EIRA BARBARA INSERTA ((ALLEN))	holotype	1
HOLOTYPE OF EIRA BARBARA IRARA ((ALLEN))	holotype	1
HOLOTYPE OF EIRA BARBARA SENILIS ((ALLEN))	holotype	1
HOLOTYPE OF EIRENIS ARABICA, HAAS, 1961, ANN. CARNEGIE MUS., 36:20	holotype	1
HOLOTYPE OF ELAENIA BOLIVIANA, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 171, PUBLISHED 8 AUGUST 1913.	holotype	1
HOLOTYPE OF ELAENIA PALLATANGAE EXSUL, TODD, W. E. C. 1952. NEW TYRANT FLYCATCHERS FROM SOUTH AMERICA **AGE AND SEX NOT LISTED**. ANNALS CARNEGIE MUSEUM, 291-304. PAGE 302, PUBLISHED 15 FEBRUARY 1952.	holotype	1
HOLOTYPE OF ELAPHE FLAVIRUFA PHAESCENS	holotype	1
HOLOTYPE OF ELAPS COLUMBIANUS, GRIFFIN, 1915, MEM. CARNEGIE MUS., 7:216	holotype	1
HOLOTYPE OF ELAPS HOLLANDI, GRIFFIN, 1915, MEM. CARNEGIE MUS., 7:218	holotype	1
HOLOTYPE OF ELECTRON PLATYRHYNCHUM MEDIANUM, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA ***INCORRECTLY LISTED AS RIO TURUTU***. PROC. BIOL. SOC. WASH., 169-174. PAGE 174, PUBLISHED 8 AUGUST 1913.	holotype	1
HOLOTYPE OF ELECTRON PLATYRHYNCHUM ORIENTALE, TODD, W. E. C. 1937. NEW SOUTH AMERICAN BIRDS. ANNALS CARNEGIE MUSEUM, 243-255. PAGE 246, PUBLISHED 16 NOVEMBER 1937.	holotype	1
HOLOTYPE OF ELEPHANTULUS INTUFI	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS ALCOAE, SCHWARTZ, 1971, ANN. CARNEGIE MUS., 43:26	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS AMNISCOLA	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS ANOTIS	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS ANZUETOI	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS APOSTATES, SCHWARTZ, 1973, J. HERPETOL., 7:262	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS BOULENGERI	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS BREVIFRONS	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS CARMELITAE	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS CHLOROPHENAX, SCHWARTZ, 1976, HERPETOLOGICA, 32:168	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS COCHRANAE	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS COLOSTICHOS	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS COOKI	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS DECORATUS PURPURUS	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS DELICATUS	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS ETHERIDGEI	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS GLAPHYCOMPUS, SCHWARTZ,1973, J. HERPETOL., 7:253	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS INSIGNITUS	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS KARLSCHMIDTI	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS LAMPROTES, SCHWARTZ, 1973, J. HERPETOL., 7:253	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS LUCIOI, SCHWARTZ, 1980, ANN. CARNEGIE MUS., 49:105	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS MEGALOPS	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS RETICULATUS	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS RHODESI, SCHWARTZ, 1980, ANN. CARNEGIE MUS., 49:108	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS RIVULUS	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS SANCTAE-MARTAE	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS STANTONI	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS STENODISCUS	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS STUARTI	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS TABASARAE	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS VIRIDICANS	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS WARRENI, SCHWARTZ, 1976, BULL. FLORIDA STATE MUS., 21:26	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS WETMOREI SOMMERI, SCHWARTZ, 1977, HERPETOLOGIA, 33:68	holotype	1
HOLOTYPE OF ELEUTHERODACTYLUS XUCANEBI	holotype	1
HOLOTYPE OF ELIGMODONTIA MORGANI	holotype	1
HOLOTYPE OF ELLOBIUS LUTESCENS LEGENDREI (GOODWIN)	holotype	1
HOLOTYPE OF ELLOBIUS TALPINUS TALPINUS ((PALLAS))	holotype	1
HOLOTYPE OF ELLOBIUS TANCREI (BLASIUS)	holotype	1
HOLOTYPE OF EMBALLONURA ALECTO PALAWANENSIS (TAYLOR, 1934)	holotype	1
HOLOTYPE OF EMPIDONOMUS VARIUS SEPTENTRIONALIS, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 96, PUBLISHED 6 JUNE 1916.	holotype	1
HOLOTYPE OF ENDOMYCHURA HYPOLEUCA SCRIPPSI	holotype	1
HOLOTYPE OF EONYCTERIS ROBUSTA (MILLER)	holotype	1
HOLOTYPE OF EOTHENOMYS CUSTOS ((ALLEN))	holotype	1
HOLOTYPE OF EPICRATES CENCHRIA GAIGEI	holotype	1
HOLOTYPE OF EPICRATES EXSUL, NETTING AND GOIN, 1944, ANN. CARNEGIE MUS., 30:71	holotype	1
HOLOTYPE OF EPICRATES FORDII MANOTOTUS, SCHWARTZ, 1979, HERPETOLOGICA, 35:253	holotype	1
HOLOTYPE OF EPICRATES STRIATUS MCCRANIEI	holotype	1
HOLOTYPE OF EPTESICUS ANDINUS (ALLEN)	holotype	1
HOLOTYPE OF EPTESICUS ANDINUS (ANTHONY, 1926)	holotype	1
HOLOTYPE OF EPTESICUS BRASILIENSIS THOMASI (DAVIS, 1966)	holotype	1
HOLOTYPE OF EPTESICUS FURINALIS GAUMERI (ALLEN, 1897)	holotype	1
HOLOTYPE OF ERETHIZON DORSATUM (MEARNS)	holotype	1
HOLOTYPE OF ERETHIZON DORSATUM NIGRESCENS (ALLEN)	holotype	1
HOLOTYPE OF ERINACEUS AMURENSIS (SCHRENCK)	holotype	1
HOLOTYPE OF ERINACEUS CONCOLOR	holotype	1
HOLOTYPE OF ERIONOTUS PUNCTATUS SUBCINEREUS, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 79-82. PAGE 80, PUBLISHED 13 APRIL 1915.	holotype	1
HOLOTYPE OF EROLIA ALPINA ARCTICOLA, TODD, W. E. C. 1953. A TAXONOMIC STUDY OF THE AMERICAN DUNLIN (EROLIA ALPINA SUBSPP.) (COMMUNICATED BY H. FRIEDMANN). J. WASH. ACAD. SCI., 85-88. PAGE 86, PUBLISHED MARCH 1953.	holotype	1
HOLOTYPE OF EROLIA ALPINA HUDSONIA, TODD, W. E. C. 1953. A TAXONOMIC STUDY OF THE AMERICAN DUNLIN (EROLIA ALPINA SUBSPP.) (COMMUNICATED BY H. FRIEDMANN). J. WASH. ACAD. SCI., 85-88. PAGE 87, PUBLISHED MARCH 1953.	holotype	1
HOLOTYPE OF EUCHLORNIS AUREIPECTUS FESTIVA, TODD, W. E. C. 1912. DESCRIPTIONS OF SEVENTEEN NEW NEOTROPICAL BIRDS. ANNALS CARNEGIE MUSEUM, 198-214. PAGE 211, PUBLISHED 20 MAY 1912.	holotype	1
HOLOTYPE OF EUDERMA MACULATUM	holotype	1
HOLOTYPE OF EUDERMA MACULATUM (ALLEN, 1891)	holotype	1
HOLOTYPE OF EUDRYAS BODDAERTII GAIGEAE	holotype	1
HOLOTYPE OF EUDRYAS RUTHVENI	holotype	1
HOLOTYPE OF EULEMUR FULVUS SANFORDI ((ARCHBOLD))	holotype	1
HOLOTYPE OF EUMECES DICEI	holotype	1
HOLOTYPE OF EUMECES TAYLORI	holotype	1
HOLOTYPE OF EUMOPS AURIPENDULUS (GOODWIN, 1956)	holotype	1
HOLOTYPE OF EUMOPS AURIPENDULUS AURIPENDULUS ((SHAW))	holotype	1
HOLOTYPE OF EUMOPS AURIPENDULUS AURIPENDULUS ((SHAW, 1800))	holotype	1
HOLOTYPE OF EUMOPS PEROTIS PEROTIS ((WIED-NEUWIED))	holotype	1
HOLOTYPE OF EUMOPS UNDERWOODI UNDERWOODI (GOODWIN)	holotype	1
HOLOTYPE OF EUPEMPHIX RUTHVENI	holotype	1
HOLOTYPE OF EUPETES CAERULESCENS NEUMANNI	holotype	1
HOLOTYPE OF EUPHONIA CHLOROTICA AMAZONICA, PARKES, K. C. 1969. SOME UNDESCRIBED SUBSPECIES OF TANAGERS FROM SOUTH AMERICA. BULL. BRIT. ORN. CLUB, 17-20. PAGE 18, PUBLISHED 5 FEBRUARY 1969.	holotype	1
HOLOTYPE OF EUPHONIA XANTHOGASTER CYANONOTA, PARKES, K. C. 1969. SOME UNDESCRIBED SUBSPECIES OF TANAGERS FROM SOUTH AMERICA. BULL. BRIT. ORN. CLUB, 17-20. PAGE 17, PUBLISHED 5 FEBRUARY 1969.	holotype	1
HOLOTYPE OF EUPSYCHORTYX CRISTATUS LITTORALIS, TODD, W. E. C. 1917. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM COLOMBIA AND BOLIVIA. PROC. BIOL. SOC. WASH., 3-6. PAGE 6, PUBLISHED 22 JANUARY 1917.	holotype	1
HOLOTYPE OF EUPSYCHORTYX DECORATUS, TODD, W. E. C. 1917. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM COLOMBIA AND BOLIVIA. PROC. BIOL. SOC. WASH., 3-6. PAGE 6, PUBLISHED 22 JANUARY 1917.	holotype	1
HOLOTYPE OF EURYCEA NANA	holotype	1
HOLOTYPE OF EURYPHOLIS MAYAE	holotype	1
HOLOTYPE OF EUSCARTHMORNIS GRANADENSIS ANDINUS, TODD, W. E. C. 1952. NEW TYRANT FLYCATCHERS FROM SOUTH AMERICA. ANNALS CARNEGIE MUSEUM, 291-304. PAGE 298, PUBLISHED 15 FEBRUARY 1952.	holotype	1
HOLOTYPE OF EUSCARTHMUS OLIVASCENS, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF SEVEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 169-170. PAGE 169, PUBLISHED 29 NOVEMBER 1915.	holotype	1
HOLOTYPE OF EUSCARTHMUS STRIATICOLLIS GRISEICEPS, TODD, W. E. C. 1925. SIXTEEN NEW BIRDS FROM BRAZIL AND GUIANA. PROC. BIOL. SOC. WASH., 91-100. PAGE 93, PUBLISHED 15 JULY 1925.	holotype	1
HOLOTYPE OF FELIS COLOCOLO BRACCATA (COPE)	holotype	1
HOLOTYPE OF FELIS PARDALIS (LINNEAUS)	holotype	1
HOLOTYPE OF FELIS PARDALIS MARIPENSIS (ALLEN)	holotype	1
HOLOTYPE OF FELIS RUFUS ESCUINAPAE ((ALLEN))	holotype	1
HOLOTYPE OF FELIS RUFUS OAXACENSIS ((GOODWIN))	holotype	1
HOLOTYPE OF FELIS SERVAL LIPTOSTICTA (POCOCK)	holotype	1
HOLOTYPE OF FELIS TIGRINA ONCILLA (THE CORYNDON MUSEUM)	holotype	1
HOLOTYPE OF FELIS TIGRINA PARDINOIDES (GRAY)	holotype	1
HOLOTYPE OF FELIS YAGUAROUNDI PANAMENSIS (ALLEN)	holotype	1
HOLOTYPE OF FORMICARIUS CASTANEICEPS, CARRIKER, JR., M. A. 1908. BRIEF DESCRIPTIONS OF SOME NEW SPECIES OF BIRDS FROM COSTA RICA AND A RECORD OF SOME SPECIES NOT HITHERTO REPORTED FROM THAT COUNTRY. ANNALS CARNEGIE MUSEUM, 301-302. PAGE 301, PUBLISHED 1 A	holotype	1
HOLOTYPE OF FORMICARIUS MONILIGER INTERMEDIUS, RIDGWAY, R. 1908. DIAGNOSES OF SOME NEW FORMS OF NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 191-196. PAGE 194, PUBLISHED 20 OCTOBER 1908.	holotype	1
HOLOTYPE OF FORMICARIUS MONILIGER VIRESCENS, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 79-82. PAGE 80, PUBLISHED 13 APRIL 1915.	holotype	1
HOLOTYPE OF FORMICARIUS RUFICEPS ORINOCENSIS, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 73, PUBLISHED 30 DECEMBER 1920.	holotype	1
HOLOTYPE OF FUNISCIURUS ANERYTHRUS NIAPU	holotype	1
HOLOTYPE OF FURNARIUS LEUCOPUS EXILIS, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 74, PUBLISHED 30 DECEMBER 1920.	holotype	1
HOLOTYPE OF GALBULA RUFOVIRIDIS HETEROGYNA, TODD, W. E. C. 1932. SEVEN APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 215-220. PAGE 217, PUBLISHED 26 NOVEMBER 1932.	holotype	1
HOLOTYPE OF GALBULA TOMBACEA MENTALIS, TODD, W. E. C. 1943. STUDIES IN THE JACAMARS AND PUFF-BIRDS. ANNALS CARNEGIE MUSEUM, 1-18. PAGE 9, PUBLISHED 20 OCTOBER 1943.	holotype	1
HOLOTYPE OF GALIDIA ELEGANS	holotype	1
HOLOTYPE OF GALLINAGO TRISTRAMI (ROTHSCHILD, 1893)	holotype	1
HOLOTYPE OF GALLINULA CHLOROPUS HYPOMELAENA, TODD, W. E. C. 1954. A NEW GALLINULE FROM BOLIVIA. PROC. BIOL. SOC. WASH., 85-86. PAGE 85, PUBLISHED 22 MARCH 1954.	holotype	1
HOLOTYPE OF GASTROTHECA MEDEMI	holotype	1
HOLOTYPE OF GASTROTHECA MERTENSI	holotype	1
HOLOTYPE OF GASTROTHECA NICEFORI	holotype	1
HOLOTYPE OF GASTROTHECA WALKERI	holotype	1
HOLOTYPE OF GASTROTHECA WILLIAMSONI	holotype	1
HOLOTYPE OF GEKKO MINDORENSIS, TAYLOR, 1919, PHILIPPINE JOUR. SCI., 14:115	holotype	1
HOLOTYPE OF GEOBATRACHUS WALKERI	holotype	1
HOLOTYPE OF GEOCAPROMYS INGRAHAMI ((ALLEN))	holotype	1
HOLOTYPE OF GEOEMYDA RUBIDA PERIXANTHA	holotype	1
HOLOTYPE OF GEOMYS ARENARIUS	holotype	1
HOLOTYPE OF GEOMYS PERSONATUS FUSCUS	holotype	1
HOLOTYPE OF GEOPHIS CARINOSUS	holotype	1
HOLOTYPE OF GEOPHIS IMMACULATUS	holotype	1
HOLOTYPE OF GEOPHIS INCOMPTUS	holotype	1
HOLOTYPE OF GEOPHIS NIGROCINCTUS	holotype	1
HOLOTYPE OF GEOPHIS TARASCAE	holotype	1
HOLOTYPE OF GEOXUS VALDIVIANUS BULLOCKI ((OSGOOD))	holotype	1
HOLOTYPE OF GERRHONOTUS LIOCEPHALUS AUSTRINUS	holotype	1
HOLOTYPE OF GERRHONOTUS LUGOI, MCCOY, 1970, SOUTHWESTERN NAT., 15:37	holotype	1
HOLOTYPE OF GERRHONOTUS MATUDAI	holotype	1
HOLOTYPE OF GERRHONOTUS MORELETI RAFAELI	holotype	1
HOLOTYPE OF GERRHONOTUS MORELETI TEMPORALIS	holotype	1
HOLOTYPE OF GLAUCIDIUM BRASILIANUM MEDIANUM, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 98, PUBLISHED 6 JUNE 1916.	holotype	1
HOLOTYPE OF GLAUCIDIUM TEPHRONOTUM LUKOLELAE (CHAPIN, 1932)	holotype	1
HOLOTYPE OF GLAUCOMYS VOLANS CHONTALI	holotype	1
HOLOTYPE OF GLAUCOMYS VOLANS OAXACENSIS	holotype	1
HOLOTYPE OF GLAUCOMYS VOLANS UNDERWOODI	holotype	1
HOLOTYPE OF GLAUCONYCTERIS ALBOGUTTATA (ALLEN, 1917)	holotype	1
HOLOTYPE OF GLAUCONYCTERIS HUMERALIS (ALLEN, 1917)	holotype	1
HOLOTYPE OF GLIRONIA VENUSTA (THE CORYNDON MUSEUM)	holotype	1
HOLOTYPE OF GLOSSOPHAGA LONGIROSTRIS MAJOR (GOODWIN)	holotype	1
HOLOTYPE OF GLYPHORYNCHUS SPIRURUS SUBRUFESCENS, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE WOOD-HEWERS. ANNALS CARNEGIE MUSEUM, 5-18. PAGE 14, PUBLISHED 2 JULY 1948.	holotype	1
HOLOTYPE OF GONATODES HASEMANI, GRIFFIN, 1917, ANN. CARNEGIE MUS., 11:304	holotype	1
HOLOTYPE OF GONIUROSAURUS LUII	holotype	1
HOLOTYPE OF GRACILINANUS ACERAMARCAE ((TATE))	holotype	1
HOLOTYPE OF GRACILINANUS AGILIS ((BURMEISTER))	holotype	1
HOLOTYPE OF GRACILINANUS IGNITUS	holotype	1
HOLOTYPE OF GRALLARIA ALTICOLA, TODD, W. E. C. 1919. DESCRIPTIONS OF APPARENTLY NEW COLOMBIAN BIRDS. PROC. BIOL. SOC. WASH., 113-118. PAGE 115, PUBLISHED 27 JUNE 1919.	holotype	1
HOLOTYPE OF GRALLARIA VARIA CARMELITAE, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 79-82. PAGE 81, PUBLISHED 13 APRIL 1915.	holotype	1
HOLOTYPE OF GRALLARIA VARIA DISTINCTA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 176, PUBLISHED 2 DECEMBER 1927.	holotype	1
HOLOTYPE OF GRALLARICULA NANA NANITAEA (DONEGAN, 2008)	holotype	1
