typestatus	standard	vetted
[HOLOTYPE]	holotype	1
[ILLEG] TYPE OF D.ORBIGNY	type	1
[PARATYPE]	paratype	1
[PARATYPES]	paratype	1
[SYNTYPE]	syntype	1
[TYPE]	type	1
<NO DATA>		1
= (TYPE OF IDONEUS RIDGWAY)	type	1
= TYPE: C. WALTERI	type	1
2 SYNTYPES IN U.S.N.M.		1
21 OCT 2004		1
3RD TOPOTYPE	topotype	1
A	allotype	1
A TYPE	type	1
A. HELICE CITED		1
A. M.-N. SP. PARATYPE, CITED; A. H.-CITED; P. L.-CITED	paratype	1
A. M.-PARATYPE, FIGURED AND CITED; A. H.-CITED	paratype	1
ABRONIA		1
ALLOTYPE	allotype	1
ALLOTYPE OF DEIROCHELYS RETICULARIA CHRYSEA	allotype	1
ALLOTYPE OF EURYCEA NANA	allotype	1
ALLOTYPE OF NECTURUS MACULOSUS STICTUS	allotype	1
ALLOTYPE OF PLETHODON LONGICRUS	allotype	1
ALLOTYPE OF PSEUDEMYS FLORIDANA SUWANNIENSIS	allotype	1
ALLOTYPE OF SYNCOPE ANTENORI	allotype	1
ALLOTYPE OF TRITURUS GRANULOSUS TWITTYI	allotype	1
ALLOTYPE OF TRITURUS PERSTRIATUS	allotype	1
ATOL VOUCHER		1
AUTHENTIC		1
AUTHENTIC MATERIAL		1
C.-N. SP. PARATYPE; FIGURED AND CITED; A.-CITED	paratype	1
CAST OF FIGURED SPECIMEN		1
CAST OF HOLOTYPE	plastotype	1
CAST OF LECTOTYPE	lectotype	1
CAST OF PARALECTOTYPE	paralectotype	1
CAST OF PARATYPE	paratype	1
CAST OF SYNTYPE	syntype	1
CHAPIN TYPE	type	1
CITED		1
CITED; CITED; CITED		1
CITED; HOLOTYPE	holotype	1
CITED-H. AND A.; FIGURED AND CITED-P; BOTH N. COMB.		1
CO - TYPE	cotype	1
CO TYPE	cotype	1
COTYPE	cotype	1
'COTYPE'	cotype	1
CO-TYPE	cotype	1
COTYPE ?	cotype	1
COTYPE [=PARATYPE]	cotype	1
CO-TYPE OF OESTRELATA NIGRIPENNIS	cotype	1
CO-TYPE SPECIMEN	cotype	1
COTYPE, SYNTYPE	cotype	1
CO-TYPE.	cotype	1
COTYPE?	cotype	1
CO-TYPE?	cotype	1
COTYPES	cotype	1
CO-TYPES	cotype	1
COTYPES (HOLOTYPE AND PARATYPE)	type	1
DM HARRIS		1
DRAWING OF TYPE		1
DRAWINGOFTYPE		1
DUPICADO BPI, LIL		1
DUPLICADO BPI		1
DUPLICADO LIL		1
ECOTYPE (FROM OBERLIN LABEL)	ecotype	1
EPITYPE	epitype	1
EX HOLOTYPE	type	1
EX MS HOLOTYPE	type	1
EX MS PARATYPE(S)	paratype	1
EX PARATYPE	paratype	1
FHOLOTYPE	holotype	1
FIG		1
FIGURED		1
FIGURED AND CITED		1
FIGURED AND CITED (8946A)		1
FIGURED, HYPOTYPE	hypotype	1
FIGURED; CITED		1
FIGURED; FIGURED		1
FROM TYPE LOCALITY	topotype	1
G		1
G.INCRASSATUS AND GENUS  SPHOEROCEPHALUS		1
GENOTYPE, HOLOTYPE	holotype	1
H	holotype	1
HOLO	holotype	1
HOLO*	holotype	1
HOLO/PARATY	holotype | paratype	1
HOLOTIP	holotype	1
HOLOTIPO	holotype	1
HOLOTYE OF DRYOBATES VILLOSUS SCRIPPSAE	holotype	1
HOLOTYPE	holotype	1
HOLOTYPE (AT USNM)	holotype	1
HOLOTYPE (MS)	holotype	1
HOLOTYPE FRAGMENT	holotype	1
HOLOTYPE HYLA RIVEROI, COCHRAN AND GOIN, 1970, U.S. NATL. MUS. BULL., 288:284	holotype	1
HOLOTYPE LIMNOTRAGUS SELOUSI	holotype	1
HOLOTYPE NOTES	holotype	1
HOLOTYPE OF	holotype	1
HOLOTYPE OF  LEPIDODACTYLUS NAUJANENSIS, TAYLOR, 1919, PHILIPPINE JOUR. SCI., 14:113	holotype	1
HOLOTYPE OF  TYPHLOPS DENDROPHIS, TAYLOR, 1922, PHILIPPINE BUR. SCI., PUBL. 16:60	holotype	1
HOLOTYPE OF ABRONIA ANZUETOI	holotype	1
HOLOTYPE OF ACANTHAGENYS RUFOGULARIS PARKERI, PARKES, K. C. 1980. A NEW SUBSPECIES OF THE SPINY-CHEEKED HONEYEATER ACANTHAGENYS RUFOGULARIS, WITH NOTES ON GENERIC RELATIONSHIPS. BULL. BRIT. ORN. CLUB, 143-147. PAGE 144, PUBLISHED 20 JUNE 1980.	holotype	1
HOLOTYPE OF ACCENTOR ERYTHROPYGIUS (SWINHOE, 1870)	holotype	1
HOLOTYPE OF ACCENTOR TALIFUENSIS	holotype	1
HOLOTYPE OF ACOMYS RUSSATUS	holotype	1
HOLOTYPE OF ACRIS GRYLLUS BLANCHARDI, HARPER, 1947, PROC. BIOL. SOC. WASHINGTON, 60:39	holotype	1
