month	standard	vetted
76		1
77		1
78		1
79		1
8	8	1
8 JUL	7	1
8/*/		1
80		1
81		1
82		1
84		1
85		1
8TH		1
9	9	1
9/29/	9	1
9/82	9	1
9-13 SEPT	9	1
99		1
9TH		1
A		1
A BARCELONA L'ABRIL DE		1
AAPR	4	1
ABOUT		1
ABR	4	1
ACTOBER	10	1
AGO	4	1
ALIVE FEBRUARY	2	1
AND		1
AND 15 FEB		1
AND AUGUST OF		1
AND AUTUMN		1
AND SEPTEMBER OF		1
AND? JUL		1
ANTERIOR		1
ANTERIOR AL		1
ANYS		1
AO 1986 ET 7 MAI		1
APIRL	4	1
APR	4	1
APR-	4	1
APR 1942 OR 4 DEC		1
APR 1979	4	1
APR NO		1
APR/MAY		1
APRIL	4	1
APRIL-	4	1
APRIL 16	4	1
APRIL/MAY		1
APRIL?	4	1
APRLI	4	1
ARP	4	1
ARPRIL	4	1
AUB	8	1
AUDUST	8	1
AUG	8	1
AUG-	8	1
AUG -	8	1
AUG  1971 	8	1
AUG 1955 OR		1
AUG 1969 &		1
AUG 1970	8	1
AUG 1971	8	1
AUG 1997;	8	1
AUG 2000	8	1
AUG 6	8	1
AUG;	8	1
AUGM	8	1
AUGUST	8	1
AUGUST-	8	1
AUGUST 1968 TO 23 AUGUST		1
AUGUST AND SEPTEMBER		1
AUGUST OR JULY		1
AUGUSTUST	8	1
AUH	8	1
AUT	8	1
AUTUMN		1
BEFORE		1
BEFORE 1935 OR		1
CA		1
CALCULA QUE ÉS DE LA DÈCADA DELS 90 (ENTRE		1
CHECK		1
CIRCA		1
CTOBER	10	1
DATE		1
DATE [PROBABLY 21		1
DATE AS		1
DATE; RECEIVED AT MUSEUM IN		1
DATE]		1
DDEC	12	1
DE		1
DE DESEMBRE	12	1
DE FRA JULIÀ		1
DE FRA JULIÀ DE BOLTAITE		1
DE GENER	1	1
DE L'AGOST	8	1
DE L'AGOST DE		1
DE L'ANY		1
DE NOVEMBRE	11	1
DEAD 20 SEPTEMBER		1
DEC	12	1
DEC-	12	1
DEC -	12	1
DEC  1894 	12	1
DEC  1962	12	1
DEC 1955 OR		1
DEC 1978	12	1
DEC 1979 	12	1
DEC*	12	1
DÈCADA		1
DECEMBER	12	1
DECEMEBER	12	1
DECMEBER	12	1
DEDUEIX EN LA DÈCADA DELS		1
DEDUEIX ENTRE 1990 I		1
DEDUEIX ENTRE 2000 I		1
DEDUEIX ENTRE EL 1990 I		1
DEL		1
DEL 21 DE JULIOL DE		1
DEP	9	1
DIC	12	1
EARLY		1
EL		1
EL DIA 15 I EL 26 DE MAIG DE		1
ENE	1	1
ENTRE 1990 I		1
ENTRE 2000 I		1
ENTRE EL 1990 I		1
ENTRE EL 1990 I MAIG DEL		1
ENTRE EL 1990 I MARÇ DEL		1
ENTRE L'ANY 2000 I		1
ESTIU-		1
EXACT DATE		1
FAL		1
FALL		1
FALL-		1
FALSE		1
FEB	2	1
FEB-	2	1
FEB -	2	1
FEB 1923; 24 MAY		1
FEB AND EARLY MAR		1
FEB/JUN		1
FEBRUARY	2	1
FEBUARY	2	1
FEBURARY	2	1
FEN	2	1
FIELD		1
FR  MARTI ROSSELL		1
GENER	1	1
HATCHED		1
HIVERN		1
HUNE	6	1
I	1	1
II	2	1
III	3	1
IN		1
IN 1890		1
IV	4	1
IX	9	1
JAN	1	1
JAN-	1	1
JAN -	1	1
JAN  4	1	1
JAN 1971 OR		1
JAN/FEB		1
JANB	1	1
JANUAERY	1	1
JANUARY	1	1
JANUARY 17	1	1
JANUARY 6	1	1
JANURAY	1	1
JJUL	7	1
JUBE	6	1
JUL	7	1
JUL-	7	1
JUL 1970	7	1
JUL 1970& 3 APR		1
JUL 1976	7	1
JUL 22	7	1
JULT	7	1
JULY	7	1
JULY-	7	1
JULY 18 	7	1
JULY 1963	7	1
JULY 1964	7	1
JULY 1970 	7	1
JULY 1974 (17		1
JULY 1974 AND 9 AUGUST		1
JUN	6	1
JUN & 27 JUN	6	1
JUN 1959	6	1
JUNE	6	1
JUNE-	6	1
JUNE - AUG		1
JUNE 1972	6	1
JUNE OR 3 JULY		1
JUNE/JULY		1
JUUNE	6	1
JUY	7	1
L'ABRIL I EL JUNY DE		1
LATE		1
LATE1970/EARLY		1
MAAR	3	1
MAECH	3	1
MAEXH	3	1
MAR	3	1
MAR-	3	1
MAR -	3	1
MAR NO		1
MAR/APR		1
MARCH	3	1
MARCH-	3	1
MARCH 13 OR		1
MARCH 19	3	1
MARCH 3 OR		1
MARCH OR 01 APRIL		1
MARCY	3	1
MAT		1
MAY	5	1
MAY-	5	1
MAY 1959 OR		1
MAY 1972 TO 30 MAY		1
MAY 1987 AND 5 JUNE		1
MAY OR JUNE		1
MAY(?)	5	1
MAY/JUNE		1
MEET		1
MID		1
MMAR	3	1
MRA	3	1
MYA	5	1
NO		1
NOV	11	1
NOV -	11	1
NOV 1955 OR		1
NOV 1959 OR		1
NOV 1965 OR		1
NOV 1983 	11	1
NOV/21		1
NOV/DEC		1
NOVC	11	1
NOVEMBER	11	1
NOVEMBER 1952	11	1
NOVEMBER 2 OR		1
NOVEMBR	11	1
