preparations	standard	vetted
FEATHER - 1; SKIN - 1; FEATHER - 1; FEATHER - 1	feather - 1 | skin - 1 | feather - 1 | feather - 1	1
FEATHER - 1; SKIN - 1; FEATHER - 1; FEATHER - 1; FEATHER - 1; FEATHER - 1	feather - 1 | skin - 1 | feather - 1 | feather - 1 | feather - 1 | feather - 1	1
FEATHER - 1; SKIN - 1; GENBANK - 1; GENBANK - 1	feather - 1 | skin - 1 | Genbank - 1 | Genbank - 1	1
FEATHER - 1; SKIN - 1; SKEL - 1	feather - 1 | skin - 1 | skeleton - 1	1
FEATHER - 1; SKIN - 1; SKIN/TOE CLIP - 1	feather - 1 | skin - 1	1
FEATHER - 1; SKIN - 1; TISSUE - 1	feather - 1 | skin - 1 | tissue - 1	1
FEATHER - 1; SKIN - 1; TISSUE - 50	feather - 1 | skin - 1 | tissue - 50	1
FEATHER - 1; SKIN/TOE CLIP - 1; SKEL - 1; SKIN - 1	feather - 1 | skeleton - 1 | skin - 1	1
FEATHER - 1; SYRINX - 1; FLAT_SKIN - 1; TISSUE - 1; SKEL - 1	feather - 1 | syrinx - 1 | flat skin - 1 | tissue - 1 | skeleton - 1	1
FEATHER - 1; SYRINX - 1; SKEL - 1	feather - 1 | syrinx - 1 | skeleton - 1	1
FEATHER - 1; SYRINX - 1; SKIN - 1; SKEL - 1	feather - 1 | syrinx - 1 | skin - 1 | skeleton - 1	1
FEATHER - 1; SYRINX - 1; TISSUE - 1; SKIN - 1; SKEL - 1	feather - 1 | syrinx - 1 | tissue - 1 | skin - 1 | skeleton - 1	1
FEATHER - 1; SYRINX - 1; WINGS_TAIL - 1; TISSUE - 1; SKIN - 1	feather - 1 | syrinx - 1 | wings_tail - 1 | tissue - 1 | skin - 1	1
FEATHER - 1; TISSUE - 1	feather - 1 | tissue - 1	1
FEATHER - 1; TISSUE - 1; SKEL - 1	feather - 1 | tissue - 1 | skeleton - 1	1
FEATHER - 1; TISSUE - 1; SKIN - 1	feather - 1 | tissue - 1 | skin - 1	1
FEATHER - 1; WINGS_TAIL - 1; FLAT_SKIN - 1; SKEL - 1	feather - 1 | wings_tail - 1 | flat skin - 1 | skeleton - 1	1
FEATHER - 1; WINGS_TAIL - 1; SKEL - 1	feather - 1 | wings_tail - 1 | skeleton - 1	1
FEATHER - 1; WINGS_TAIL - 1; TISSUE - 1	feather - 1 | wings_tail - 1 | tissue - 1	1
FEATHER - 1; WINGS_TAIL - 1; TISSUE - 1; SKEL - 1	feather - 1 | wings_tail - 1 | tissue - 1 | skeleton - 1	1
FEATHER - 1; WINGS_TAIL - 1; TISSUE - 1; SKIN - 1	feather - 1 | wings_tail - 1 | tissue - 1 | skin - 1	1
FEATHER - 10; EGGSET - 1; FLAT_SKIN - 1; SKEL - 1	feather - 10 | eggset - 1 | flat skin - 1 | skeleton - 1	1
FEATHER - 10; FLAT_SKIN - 1; SKEL - 1	feather - 10 | flat skin - 1 | skeleton - 1	1
FEATHER - 100; SKEL - 1	feather - 100 | skeleton - 1	1
FEATHER - 2	feather - 2	1
FEATHER - 2; FEATHER - 5; SKIN - 1; FEATHER - 1	feather - 2 | feather - 5 | skin - 1 | feather - 1	1
FEATHER - 2; SKIN - 1	feather - 2 | skin - 1	1
FEATHER - 2; SKIN - 1; FEATHER - 2	feather - 2 | skin - 1 | feather - 2	1
FEATHER - 3; SKIN - 1	feather - 3 | skin - 1	1
FEATHER, TISSUE	feather | tissue	1
FEATHER; SKIN/TOE CLIP; SKEL; SKIN	feather | skeleton | skin	1
FEATHER; SKIN; SKIN/TOE CLIP	feather | skin	1
FEATHER; TISSUE	feather | tissue	1
FEATHERS	feathers	1
FEATHERS - 1	feathers - 1	1
FEATHERS ,FEATHERS	feathers	1
FEATHERS ,SKEL	feathers | skeleton	1
FEATHERS ,SKEL ,WING	feathers | skeleton | wing	1
FEATHERS ,SKIN	feathers | skin	1
FEATHERS ,SKIN ,SKEL ,SKEL	feathers | skin | skeleton	1
FEATHERS ,TISSUE ,SKEL ,WING	feathers | skeleton | tissue | wing	1
FEATHERS ,TISSUE ,WING ,SKEL	feathers | skeleton | tissue | wing	1
FEATHERS ,WING	feathers | wing	1
FEATHERS ,WING ,SKEL	feathers | skeleton | wing	1
FEATHERS ,WING ,SKEL ,TISSUE	feathers | skeleton | tissue | wing	1
FEATHERS ,WING ,TISSUE ,SKEL	feathers | skeleton | tissue | wing	1
FEATHERS, SKELETON	feathers | skeleton	1
FEATHERS, TAIL, WING	feathers | tail | wing	1
FEATHERS, TISSUE	feathers | tissue	1
FEATHERS, WING	feathers | wing	1
FEATHERS/SKELETON	feathers | skin	1
FEATHERS; ROUND SKIN	feathers | round skin	1
FECAL PELLETS	fecal pellets	1
FL	complete skeleton | flat skin	1
FL | TISSUE	complete skeleton | flat skin | tissue	1
FLAT	flat skin	1
FLAT SKIN	flat skin	1
FLAT SKIN, SKELETON, SYRINX - 1	skeleton | flat skin | syrinx - 1	1
FLAT SKIN, SKELETON, TISSUE - 1	skeleton | flat skin | tissue - 1	1
FLAT SKIN, SKELETON, WING - 1	skeleton | flat skin | wing - 1	1
FLAT SKIN, TISSUE - 1	flat skin | tissue - 1	1
FLAT SKIN, TISSUE, BULLA - 1	bulla - 1 | flat skin | tissue	1
FLAT SKIN, TISSUE, WING - 1	flat skin | tissue | wing - 1	1
FLAT SKIN, TISSUE, WING, SKELETON - 1	skeleton - 1 | flat skin | tissue | wing	1
FLAT SKIN, WING - 1	flat skin | wing - 1	1
FLAT, TISSUE	flat skin | tissue	1
FLAT/PART SKEL	partial skeleton | flat skin	1
FLAT/PART SKEL, TISSUE	partial skeleton | flat skin | tissue	1
FLAT/SKEL	skeleton | flat skin	1
FLAT/SKEL, TISSUE	skeleton | flat skin | tissue	1
FLAT/SKEL/EGG SET	egg set | skeleton | flat skin	1
FLAT/SKEL/WNG	skeleton | flat skin | wing	1
FLAT/WING	flat skin | wing	1
FLAT/WING, TISSUE	flat skin | tissue | wing	1
FLAT/WING/PART SKEL	partial skeleton | flat skin | wing	1
FLAT/WING/PART SKEL, TISSUE	partial skeleton | flat skin | tissue | wing	1
FLAT/WING/SKEL	skeleton | flat skin | wing	1
FLAT/WING/SKEL, TISSUE	skeleton | flat skin | tissue | wing	1
FLAT/WING? SKEL	skeleton | flat skin | wing	1
FLAT/WINGS/SKEL	skeleton | flat skin | wings	1
FLAT_SKIN - 1	flat skin - 1	1
FLAT_SKIN - 1; FLUID - 1	flat skin - 1 | fluid - 1	1
FLAT_SKIN - 1; FLUID - 1; FEATHER - 1	flat skin - 1 | fluid - 1 | feather - 1	1
FLAT_SKIN - 1; FLUID - 1; FEATHER - 2	flat skin - 1 | fluid - 1 | feather - 2	1
FLAT_SKIN - 1; FLUID - 1; SKEL - 1	flat skin - 1 | fluid - 1 | skeleton - 1	1
FLAT_SKIN - 1; IMAGE - 1; SKEL - 1	flat skin - 1 | image - 1 | skeleton - 1	1
FLAT_SKIN - 1; SKEL - 1	flat skin - 1 | skeleton - 1	1
FLAT_SKIN - 1; SKEL - 1; FEATHER - 10	flat skin - 1 | skeleton - 1 | feather - 10	1
FLAT_SKIN - 1; SKEL - 1; FLUID - 1	flat skin - 1 | skeleton - 1 | fluid - 1	1
FLAT_SKIN - 1; SKEL - 1; FLUID - NULL	flat skin - 1 | skeleton - 1 | fluid - null	1
FLAT_SKIN - 1; SKEL - 1; SKIN/TOE CLIP - 1	flat skin - 1 | skeleton - 1	1
FLAT_SKIN - 1; SKEL - 1; SYRINX - 1	flat skin - 1 | skeleton - 1 | syrinx - 1	1
FLAT_SKIN - 1; SKEL - 1; TISSUE - 1	flat skin - 1 | skeleton - 1 | tissue - 1	1
FLAT_SKIN - 1; SKEL - 1; TISSUE - 10	flat skin - 1 | skeleton - 1 | tissue - 10	1
FLAT_SKIN - 1; SKEL - 1; TISSUE - 10; SYRINX - 1	flat skin - 1 | skeleton - 1 | tissue - 10 | syrinx - 1	1
FLAT_SKIN - 1; SKEL - 1; WHOLE - 1	flat skin - 1 | skeleton - 1 | whole - 1	1
FLAT_SKIN - 1; SKEL - 1; WINGS_TAIL - 1	flat skin - 1 | skeleton - 1 | wings_tail - 1	1
FLAT_SKIN - 1; SKEL - NULL	flat skin - 1 | skeleton - null	1
FLAT_SKIN - 1; SKEL - NULL; FLUID - 1	flat skin - 1 | skeleton - null | fluid - 1	1
FLAT_SKIN - 1; SKEL - NULL; SKIN/TOE CLIP - 1	flat skin - 1 | skeleton - null	1
FLAT_SKIN - 1; SKIN - 1	flat skin - 1 | skin - 1	1
FLAT_SKIN - 1; SKIN - 1; SKEL - 1	flat skin - 1 | skin - 1 | skeleton - 1	1
FLAT_SKIN - 1; SKIN/TOE CLIP - 1	flat skin - 1	1
FLAT_SKIN - 1; SKIN/TOE CLIP - NULL	flat skin - 1	1
FLAT_SKIN - 1; SYRINX - 1; SKEL - 1; TISSUE - 1; WINGS_TAIL - 1	flat skin - 1 | syrinx - 1 | skeleton - 1 | tissue - 1 | wings_tail - 1	1
FLAT_SKIN - 1; TISSUE - 1	flat skin - 1 | tissue - 1	1
FLAT_SKIN - 1; TISSUE - 1; SKEL - 1	flat skin - 1 | tissue - 1 | skeleton - 1	1
FLAT_SKIN - 1; TISSUE - 1; SKEL - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1	flat skin - 1 | tissue - 1 | skeleton - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1	1
FLAT_SKIN - 1; TISSUE - 1; SKEL - 1; SYRINX - 1	flat skin - 1 | tissue - 1 | skeleton - 1 | syrinx - 1	1
FLAT_SKIN - 1; TISSUE - 1; SKEL - 1; WINGS_TAIL - 1	flat skin - 1 | tissue - 1 | skeleton - 1 | wings_tail - 1	1
FLAT_SKIN - 1; TISSUE - 1; SKIN - 1; SYRINX - 1	flat skin - 1 | tissue - 1 | skin - 1 | syrinx - 1	1
FLAT_SKIN - 1; TISSUE - 10; SKEL - 1	flat skin - 1 | tissue - 10 | skeleton - 1	1
FLAT_SKIN - 1; TISSUE - 30; SKEL - 1	flat skin - 1 | tissue - 30 | skeleton - 1	1
FLAT_SKIN - 1; TISSUE - 5; SKEL - 1	flat skin - 1 | tissue - 5 | skeleton - 1	1
FLAT_SKIN - 1; TISSUE - 50; SKEL - NULL	flat skin - 1 | tissue - 50 | skeleton - null	1
FLAT_SKIN - NULL; SKEL - 1	flat skin - null | skeleton - 1	1
FLAT_SKIN - NULL; SKEL - NULL	flat skin - null | skeleton - null	1
FLAT_SKIN - NULL; TISSUE - 1; SKEL - 1; SYRINX - 1	flat skin - null | tissue - 1 | skeleton - 1 | syrinx - 1	1
FLAT_SKIN; SKEL; SKIN/TOE CLIP	flat skin | skel	1
FLAT_SKIN; SKIN/TOE CLIP	flat skin	1
FLAT+WINGS	flat skin | wings	1
FLATSKIN AND ALCOHOLIC	alcoholic | flat skin	1
FLATSKIN AND ALCOHOLIC, TISSUE	alcoholic | flat skin | tissue	1
FLATSKIN AND DISSECTED CARCASS	flat skin | dissected carcass	1
FLATSKIN AND SKELETON	flat skin | skeleton	1
FLATSKIN AND SKELETON, TISSUE	flat skin | skeleton | tissue	1
FLATSKIN AND SKULL, TISSUE	flat skin | skull | tissue	1
FLATSKIN ONLY	flat skin	1
FLATSKIN ONLY, TISSUE	flat skin | tissue	1
FLATSKIN, SKELETON, AND WING, TISSUE	flat skin | skeleton | wing | tissue	1
FLUID	fluid	1
FLUID - 1	fluid - 1	1
FLUID - 1; FEATHER - 1; FLAT_SKIN - 1; FLUID - 1	fluid - 1 | feather - 1 | flat skin - 1 | fluid - 1	1
FLUID - 1; FLAT_SKIN - 1; SKEL - 1	fluid - 1 | flat skin - 1 | skeleton - 1	1
FLUID - 1; FLAT_SKIN - 1; TISSUE - 1; SKEL - 1; FLUID - 1	fluid - 1 | flat skin - 1 | tissue - 1 | skeleton - 1 | fluid - 1	1
FLUID - 1; FLAT_SKIN - 1; TISSUE - 1; SKEL - 1; SYRINX - 1	fluid - 1 | flat skin - 1 | tissue - 1 | skeleton - 1 | syrinx - 1	1
FLUID - 1; FLUID - 1	fluid - 1 | fluid - 1	1
FLUID - 1; FLUID - 1; SKIN - 1	fluid - 1 | fluid - 1 | skin - 1	1
FLUID - 1; IMAGE - 1	fluid - 1 | image - 1	1
FLUID - 1; SKEL - 1	fluid - 1 | skeleton - 1	1
FLUID - 1; SKEL - 1; SKIN - 1	fluid - 1 | skeleton - 1 | skin - 1	1
FLUID - 1; SKIN - 1	fluid - 1 | skin - 1	1
FLUID - 1; SKIN - 1; FLUID - 1	fluid - 1 | skin - 1 | fluid - 1	1
FLUID - 1; SKIN - 1; SKEL - 1; SKIN/TOE CLIP - 1	fluid - 1 | skin - 1 | skeleton - 1	1
FLUID - 1; SKIN - 1; SKIN/TOE CLIP - 1	fluid - 1 | skin - 1	1
FLUID - 1; SKIN - 1; TISSUE - 50	fluid - 1 | skin - 1 | tissue - 50	1
FLUID - 1; SYRINX - 1	fluid - 1 | syrinx - 1	1
FLUID - 1; SYRINX - 1; SKEL - 1	fluid - 1 | syrinx - 1 | skeleton - 1	1
FLUID - 1; SYRINX - 1; TISSUE - 1; SKEL - 1	fluid - 1 | syrinx - 1 | tissue - 1 | skeleton - 1	1
FLUID - 1; SYRINX - 1; TISSUE - 1; SKIN - 1	fluid - 1 | syrinx - 1 | tissue - 1 | skin - 1	1
FLUID - 1; TISSUE - 1	fluid - 1 | tissue - 1	1
FLUID - 1; TISSUE - 1; SKEL - 1	fluid - 1 | tissue - 1 | skeleton - 1	1
FLUID - 1; TISSUE - 1; SKIN - 1	fluid - 1 | tissue - 1 | skin - 1	1
FLUID - 1; TISSUE - 10	fluid - 1 | tissue - 10	1
FLUID - 1; TISSUE - 30	fluid - 1 | tissue - 30	1
FLUID - 1; TISSUE - 50; SKIN - 1	fluid - 1 | tissue - 50 | skin - 1	1
FLUID - 1; TISSUE - NULL; SKIN - 1	fluid - 1 | tissue - null | skin - 1	1
FLUID - NULL	fluid - null	1
FLUID HEAD AND PARTIAL SKELETON	fluid head | partial skeleton	1
FLUID HEAD FEET IN SKIN	fluid head and feet in skin	1
FLUID SKIN	fluid skin	1
FLUID SKIN AND EMBRYOS	fluid skin | embryos	1
FLUID, C&S	cleared and stained | fluid	1
FLUID, C&S, DRY	dry | cleared and stained | fluid	1
FLUID, C&S, DRY, FLUID	dry | cleared and stained | fluid	1
FLUID, C&S, DRY, HEMIPENIS	cleared and stained | dry | fluid | hemipenis	1
FLUID, C&S, HEMIPENIS	cleared and stained | fluid | hemipenis	1
FLUID, DRY	dry | fluid	1
FLUID, DRY, C&S	dry | cleared and stained | fluid	1
FLUID, DRY, C&S, HEMIPENIS	cleared and stained | dry | fluid | hemipenis	1
FLUID, DRY, FLUID	dry | fluid	1
FLUID, DRY, HEMIPENIS	dry. fluid | hemipenis	1
FLUID, DRY, HEMIPENIS, DRY	dry. fluid | hemipenis	1
FLUID, DRY, TISSUE	dry | fluid | tissue	1
FLUID, FLUID	fluid	1
FLUID, FLUID, DRY	dry | fluid	1
FLUID, FLUID, DRY, TISSUE	dry | fluid | tissue	1
FLUID, FLUID, HEMIPENIS	fluid | hemipenis	1
FLUID, FLUID, TISSUE	fluid | tissue	1
FLUID, GLANS	fluid | glans	1
FLUID, GLANS, KARYOTYPE	fluid | glans | karyotype	1
FLUID, GLANS, KARYOTYPE, SKIN	fluid | glans | karyotype | skin	1
FLUID, GLANS, SKIN, SKULL	fluid | glans | skin | skull	1
FLUID, GLANS, SKULL	fluid | glans | skull	1
FLUID, HEMIPENIS	fluid | hemipenis	1
FLUID, HEMIPENIS, C&S	cleared and stained | fluid | hemipenis	1
FLUID, HEMIPENIS, C&S, DRY	cleared and stained | dry | fluid | hemipenis	1
FLUID, HEMIPENIS, DRY	dry | fluid | hemipenis	1
FLUID, HEMIPENIS, DRY, C&S	cleared and stained | dry | fluid | hemipenis	1
FLUID, HEMIPENIS, HEMIPENIS	fluid | hemipenis	1
FLUID, HEMIPENIS, MICROTECHNIQUE	fluid | hemipenis | microtechnique	1
FLUID, KARYO/COL, SKULL	fluid | karyotype | skull	1
FLUID, KARYO/NC	fluid | karyotype	1
FLUID, KARYO/NC, SKULL	fluid | karyotype | skull	1
FLUID, KARYOTYPE	fluid | karyotype	1
FLUID, KARYOTYPE, SKELETON, SKIN, SKULL	fluid | karyotype | skeleton | skin | skull	1
FLUID, KARYOTYPE, SKELETON, SKULL	fluid | karyotype | skeleton | skull	1
FLUID, KARYOTYPE, SKIN	fluid | karyotype | skin	1
FLUID, KARYOTYPE, SKIN, SKULL	fluid | karyotype | skin | skull	1
FLUID, KARYOTYPE, SKIN, SKULL, TISSUE	fluid | karyotype | skin | skull | tissue	1
FLUID, KARYOTYPE, SKULL	fluid | karyotype | skull	1
FLUID, KARYOTYPE, SKULL, TISSUE	fluid | karyotype | skull | tissue	1
FLUID, KARYOTYPE, TISSUE	fluid | karyotype | tissue	1
FLUID, KARYTYPE, SKIN, SKULL	fluid | karytype | skin | skull	1
FLUID, KARYTYPE, SKULL	fluid | karytype | skull	1
FLUID, LESUEURII	fluid	1
FLUID, MICROTECHNIQUE	fluid | microtechnique	1
FLUID, MICROTECHNIQUE, HEMIPENIS, TISSUE	fluid | hemipenis | microtechnique | tissue	1
FLUID, MICROTECHNIQUE, MICROTECHNIQUE	fluid | microtechnique	1
FLUID, MICROTECHNIQUE, MICROTECHNIQUE, MICROTECHNIQUE, TISSUE	fluid | microtechnique | tissue	1
FLUID, MICROTECHNIQUE, MICROTECHNIQUE, TISSUE	fluid | microtechnique | tissue	1
FLUID, MICROTECHNIQUE, MICROTECHNIQUE, TISSUE, MICROTECHNIQUE	fluid | microtechnique | tissue	1
FLUID, MICROTECHNIQUE, RECORDING	fluid | microtechnique | recording	1
FLUID, MICROTECHNIQUE, TISSUE	fluid | microtechnique | tissue	1
FLUID, MISC	fluid | miscellaneous	1
FLUID, PART, SKIN	fluid | partial skeleton | skin	1
FLUID, PART, SKIN, TISSUE	fluid | partial skeleton | skin | tissue	1
FLUID, PART, SKULL	fluid | partial skeleton | skull	1
FLUID, RECORDING	fluid | recording	1
FLUID, RECORDING, MICROTECHNIQUE	fluid | microtechnique | recording	1
FLUID, RECORDING, TISSUE	fluid | recording | tissue	1
FLUID, SKELETON	fluid | skeleton	1
FLUID, SKELETON, SKIN	fluid | skeleton | skin	1
FLUID, SKELETON, SKIN, SKULL	fluid | skeleton | skin | skull	1
FLUID, SKELETON, SKULL	fluid | skeleton | skull	1
FLUID, SKIN	fluid | skin	1
FLUID, SKIN, SKULL	fluid | skin | skull	1
FLUID, SKIN, SKULL, TISSUE	fluid | skin | skull | tissue	1
FLUID, SKULL	fluid | skull	1
FLUID, SKULL, TISSUE	fluid | skull | tissue	1
FLUID, TISSUE	fluid | tissue	1
FLUID, TISSUE, DRY	dry | fluid | tissue	1
FLUID, TISSUE, FLUID	fluid | tissue	1
FLUID, TISSUE, MICROTECHNIQUE	fluid | microtechnique | tissue	1
FLUID, TISSUE, MICROTECHNIQUE, HEMIPENIS	fluid | hemipenis | microtechnique | tissue	1
FLUID, TISSUE, RECORDING	fluid | recording | tissue	1
FLUID; SKIN; SKEL; SKIN/TOE CLIP	fluid | skin | skel	1
FLUID; SKIN; SKIN/TOE CLIP	fluid | skin	1
FO	skin in alcohol	1
FORMALIN	formalin	1
FORMALIN - 1	formalin	1
FOUR VERTEBRAE.	vertebrae - 4	1
FP	partial skeleton | flat skin	1
FP | TISSUE	partial skeleton | flat skin | tissue	1
FRACCIÓN DE PIEL	partial skin	1
FRACCIÓN DE PIEL, PIEL, SANGRE Y MUESTRA DE RIÑÓN	blood | kidney sample | partial skin	1
FREEZE DRIED	freeze-dried	1
FREEZE DRIED MOUNT	freeze-dried mount	1
FREEZE DRIED SKIN	freeze-dried skin	1
FREEZE-DRIED	freeze-dried	1
FREEZER	frozen	1
FRONTAL SECTION (MICROSLIDE)	frontal section (microslide)	1
FROZEN	frozen	1
FROZEN CARCASS	frozen carcass	1
FROZEN CARCASS, TISSUE	frozen carcass | tissue	1
FROZEN SPECIMEN	frozen specimens	1
FROZEN TADPOLES	frozen tadpoles	1
FS	flat skin (only)	1
FULL SKELETON	full skeleton	1
FULL SKELETON AND TAIL	full skeleton | tail	1
FULL SKELETON, TISSUE	full skeleton | tissue	1
GENBANK - 1; FEATHER - 1; SKIN - 1; GENBANK - 1	Genbank - 1 | feather - 1 | skin - 1 | Genbank - 1	1
GENBANK - 1; FEATHER - 1; TISSUE - 1; SKEL - 1; GENBANK - 1	Genbank - 1 | feather - 1 | tissue - 1 | skeleton - 1 | Genbank - 1	1
GENBANK - 1; FEATHER - 2; GENBANK - 2	Genbank - 1 | feather - 2 | Genbank - 2	1
GENBANK - 1; GENBANK - 1; FLAT_SKIN - 1; SKEL - 1; GENBANK - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | flat skin - 1 | skeleton - 1 | Genbank - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; FEATHER - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | feather - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; FLAT_SKIN - 1; TISSUE - 1; SKEL - 1; GENBANK - 1; FEATHER - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | flat skin - 1 | tissue - 1 | skeleton - 1 | Genbank - 1 | feather - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; FLUID - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | fluid - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; SKIN - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | skin - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; SKIN - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | skin - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; FLUID - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | fluid - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; SKIN - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | skin - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; SKIN - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | skin - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; SYRINX - 1; TISSUE - 1; SKIN - 1; SKEL - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | syrinx - 1 | tissue - 1 | skin - 1 | skeleton - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; FLUID - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | fluid - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; SKIN - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | skin - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; SKIN - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | skin - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; SKIN - 1; SKEL - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | skin - 1 | skeleton - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; FLUID - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | fluid - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; SKEL - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | skeleton - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; TISSUE - 1; SKIN - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1; GENBANK - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | tissue - 1 | skin - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1 | Genbank - 1	1
GENBANK - 1; GENBANK - 1; GENBANK - 1; WINGS_TAIL - 1; SKEL - 1	Genbank - 1 | Genbank - 1 | Genbank - 1 | wings_tail - 1 | skeleton - 1	1
GENBANK - 1; GENBANK - 1; SKEL - 1	Genbank - 1 | Genbank - 1 | skeleton - 1	1
GENBANK - 1; GENBANK - 1; SKIN - 1	Genbank - 1 | Genbank - 1 | skin - 1	1
